# Version 1.00
#
freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S22[dB],
1.090000000000000E+010,-5.344464234017193E+000,-1.089486133259582E+001,-7.036091157839779E+000,
1.095000000000000E+010,-4.702974738180163E+000,-1.131336767700382E+001,-6.801457206807560E+000,
1.100000000000000E+010,-4.161020047448649E+000,-1.194810416437623E+001,-6.690206810593783E+000,
1.105000000000000E+010,-3.625983926286855E+000,-1.216211089100170E+001,-6.916203203378119E+000,
1.110000000000000E+010,-3.385968813857323E+000,-1.228247088658677E+001,-7.288435301277368E+000,
1.115000000000000E+010,-3.296060155777866E+000,-1.268834333476671E+001,-6.917213580399652E+000,
1.120000000000000E+010,-3.551466764984972E+000,-1.185052146364115E+001,-7.966604567310442E+000,
1.125000000000000E+010,-3.938843822842093E+000,-1.120151225444028E+001,-8.202033198353030E+000,
1.130000000000000E+010,-4.582461074341754E+000,-1.098457392063131E+001,-8.219249965029629E+000,
1.135000000000000E+010,-5.341603380128236E+000,-1.034913347032651E+001,-8.841491355266790E+000,
1.140000000000000E+010,-5.596883961115878E+000,-1.057738643424693E+001,-7.978389319009044E+000,
1.145000000000000E+010,-5.337665663874028E+000,-1.100279070392375E+001,-7.625277959539430E+000,
1.150000000000000E+010,-4.605177585299658E+000,-1.203221463359834E+001,-6.598196672063073E+000,
1.155000000000000E+010,-3.901565678720073E+000,-1.331755293925084E+001,-5.926647081932222E+000,
1.160000000000000E+010,-3.514972345014612E+000,-1.327915829648180E+001,-6.305926137164318E+000,
1.165000000000000E+010,-3.142259654616073E+000,-1.453492016728205E+001,-5.515146224131039E+000,
1.170000000000000E+010,-3.337150215426501E+000,-1.293326691788838E+001,-7.009127156085567E+000,
1.175000000000000E+010,-3.703783048062706E+000,-1.228819523501841E+001,-7.517392459509921E+000,
1.180000000000000E+010,-4.259851187363177E+000,-1.151307910026158E+001,-8.089647352421093E+000,
1.185000000000000E+010,-5.013954251569046E+000,-1.131524567727063E+001,-7.549819671957035E+000,
1.190000000000000E+010,-5.653428904140180E+000,-1.179365721647252E+001,-6.409016010192652E+000,
1.195000000000000E+010,-6.081863815620035E+000,-1.225107175130955E+001,-5.759154661524003E+000,
1.200000000000000E+010,-4.717545634159167E+000,-1.792829216331253E+001,-2.880580822591961E+000,
1.205000000000000E+010,-4.213056144086274E+000,-1.787578185172121E+001,-3.387099232770348E+000,
1.210000000000000E+010,-3.937626306958298E+000,-1.542488437761533E+001,-4.705847529228209E+000,
1.215000000000000E+010,-3.633911441472386E+000,-1.441787911090940E+001,-5.536792472342399E+000,
1.220000000000000E+010,-3.712708998210843E+000,-1.296780015590844E+001,-7.215397261149636E+000,
1.225000000000000E+010,-3.821320541012847E+000,-1.239156189656592E+001,-7.829059944983361E+000,
1.230000000000000E+010,-4.254721816413682E+000,-1.142271750124568E+001,-8.812439099523745E+000,
1.235000000000000E+010,-5.137662107392774E+000,-1.075247621958640E+001,-8.857753060578776E+000,
1.240000000000000E+010,-6.486061916940432E+000,-1.010223291542251E+001,-8.657040681742167E+000,
1.245000000000000E+010,-8.237689201572016E+000,-9.669644170577014E+000,-8.512719382710074E+000,
1.250000000000000E+010,-9.020309094425677E+000,-1.025465900114948E+001,-6.591431194431970E+000,
1.255000000000000E+010,-9.190628297809070E+000,-9.914367513967415E+000,-7.449363096270870E+000,
1.260000000000000E+010,-8.209074384707652E+000,-9.981714718477187E+000,-7.316368474412993E+000,
1.265000000000000E+010,-7.247975381003433E+000,-1.036112470137739E+001,-7.397874060128510E+000,
1.270000000000000E+010,-7.068054659892928E+000,-9.813983044927401E+000,-8.387703315805805E+000,
1.275000000000000E+010,-7.012714836021847E+000,-9.658321956704334E+000,-8.450363691016829E+000,
1.280000000000000E+010,-7.669441166435191E+000,-9.226943904660354E+000,-9.097253886878276E+000,
1.285000000000000E+010,-8.761596414601673E+000,-9.244491649517313E+000,-8.227971128326937E+000,
1.290000000000000E+010,-1.087930150421069E+001,-8.772164465041817E+000,-7.800819088687419E+000,
1.295000000000000E+010,-1.415208082708249E+001,-8.784002849400636E+000,-6.975385732427955E+000,
1.300000000000000E+010,-1.931758517007974E+001,-8.999545849952131E+000,-5.704849655073771E+000,
1.305000000000000E+010,-2.754914200550658E+001,-9.283712471542174E+000,-5.451457530643840E+000,
1.310000000000000E+010,-2.408968685498012E+001,-9.738498989915815E+000,-4.771086286463654E+000,
1.315000000000000E+010,-1.954081587679972E+001,-9.762691711740555E+000,-5.415672967520678E+000,
1.320000000000000E+010,-1.614709716762902E+001,-9.766351681797243E+000,-5.030037751897006E+000,
1.325000000000000E+010,-1.426097163525806E+001,-9.652819008929868E+000,-5.323384014008267E+000,
1.330000000000000E+010,-1.281568852197289E+001,-9.733645912366319E+000,-5.270456268708576E+000,
1.335000000000000E+010,-1.080760357781125E+001,-1.003077515494375E+001,-4.555263646466442E+000,
1.340000000000000E+010,-9.594455805156793E+000,-1.031350790557278E+001,-4.271183860291862E+000,
1.345000000000000E+010,-8.870336229628299E+000,-1.096256574868555E+001,-3.216685010406385E+000,
1.350000000000000E+010,-8.268156526365100E+000,-1.127852647036803E+001,-3.176100543227188E+000,
1.355000000000000E+010,-8.642809885736954E+000,-1.172786993746323E+001,-2.627654911774721E+000,
1.360000000000000E+010,-9.543972390515521E+000,-1.166280888965456E+001,-2.547055459368521E+000,
1.365000000000000E+010,-1.120448267802779E+001,-1.148945904573790E+001,-2.762642716081704E+000,
1.370000000000000E+010,-1.457097755970127E+001,-1.149900097426746E+001,-2.658890455483506E+000,
1.375000000000000E+010,-1.676983115249754E+001,-1.120172422348368E+001,-3.038544289991612E+000,
1.380000000000000E+010,-1.538954327844748E+001,-1.208030363320677E+001,-2.397899249807065E+000,
1.385000000000000E+010,-1.154371557286556E+001,-1.210616530754387E+001,-2.513070326663879E+000,
1.390000000000000E+010,-9.852998463478020E+000,-1.303862121139898E+001,-2.146340159388066E+000,
1.395000000000000E+010,-7.774051250119908E+000,-1.363237826022285E+001,-1.987804562327979E+000,
1.400000000000000E+010,-6.696247424517433E+000,-1.380846258901543E+001,-2.172486187831990E+000,
1.405000000000000E+010,-6.169552397352597E+000,-1.398265645784187E+001,-2.104367424251275E+000,
1.410000000000000E+010,-6.240115581355124E+000,-1.333615273147513E+001,-2.434138835151250E+000,
1.415000000000000E+010,-6.805781580228955E+000,-1.305073907601085E+001,-2.529134228700818E+000,
1.420000000000000E+010,-8.407881483726753E+000,-1.241393602020432E+001,-2.832561522538430E+000,
1.425000000000000E+010,-1.074233287786751E+001,-1.198363207883712E+001,-2.925378875306390E+000,
1.430000000000000E+010,-1.326265303010274E+001,-1.216946338495591E+001,-2.670876005790158E+000,
1.435000000000000E+010,-1.262398247877839E+001,-1.275236055772492E+001,-2.559080943995827E+000,
1.440000000000000E+010,-9.613465120322966E+000,-1.327671996262450E+001,-2.488978505387890E+000,
1.445000000000000E+010,-7.628593178220871E+000,-1.513207662716341E+001,-2.189768008720780E+000,
1.450000000000000E+010,-6.126675679590864E+000,-1.504759900214014E+001,-2.249104675549700E+000,
1.455000000000000E+010,-5.511188242688614E+000,-1.455881016384138E+001,-2.730553147517619E+000,
1.460000000000000E+010,-5.000599733225131E+000,-1.523272332562981E+001,-2.612564896003316E+000,
1.465000000000000E+010,-5.288984597333424E+000,-1.444298838453513E+001,-2.817578706217795E+000,
1.470000000000000E+010,-5.814958773022381E+000,-1.435417339655678E+001,-2.889255281208329E+000,
1.475000000000000E+010,-5.465178858070902E+000,-1.903527012573496E+001,-1.717713299983258E+000,
1.480000000000000E+010,-9.159888846631024E+000,-1.600090088376891E+001,-2.099724503495426E+000,
1.485000000000000E+010,-8.494110620503246E+000,-2.760422684204076E+001,-8.876513133951157E-001,
1.490000000000000E+010,-9.293374340606301E+000,-2.335358526459274E+001,-1.224205908234328E+000,
1.495000000000000E+010,-6.875323802838799E+000,-2.593851463220324E+001,-1.077320707990417E+000,
1.500000000000000E+010,-4.824632137915514E+000,-3.843465141277609E+001,-6.065696301951068E-001,
1.505000000000000E+010,-4.457687279191656E+000,-2.334069225615383E+001,-1.472849238497690E+000,
